signature_id,time_window,broad_lineage,net_pooled_contribution,absolute_pooled_contribution,gene_count,absolute_share
SIG033,T2,B_LYMPHOCYTE,0.120059719753742,0.120059719753742,1,0.177763219117715
SIG033,T2,MONOCYTE,-0.0457375607577239,0.0457375607577239,1,0.0677200983940466
SIG033,T2,T_LYMPHOCYTE,0.001201789125874,0.001201789125874,1,0.0017793969880507
SIG033,T3,BROAD_OR_UNRESOLVED,-0.5724633812629698,1.1330705139087356,4,0.877368366190695
SIG033,T3,B_LYMPHOCYTE,0.0835981236152431,0.0835981236152431,1,0.0647323782876423
SIG033,T3,MONOCYTE,-0.0365784173000305,0.0365784173000305,1,0.0283236972725195
SIG033,T3,T_LYMPHOCYTE,0.0381951233664728,0.0381951233664728,1,0.029575558249143
SIG033,T4,BROAD_OR_UNRESOLVED,-0.2837996565862458,0.6031687020743194,4,0.6146142779946053
SIG033,T4,B_LYMPHOCYTE,0.1628738043563716,0.1628738043563716,1,0.1659644562532218
SIG033,T4,MONOCYTE,-0.0531469537550752,0.0531469537550752,1,0.054155456835629
SIG033,T4,T_LYMPHOCYTE,0.1621881674905202,0.1621881674905202,1,0.1652658089165437
SIG034,T1,BROAD_OR_UNRESOLVED,0.0277115497386683,0.0881380583039703,16,0.2377757505142556
SIG034,T1,DENDRITIC,-0.0063414261869301,0.0063414261869301,2,0.0171076762971999
SIG034,T1,GRANULOCYTE,-0.0553209692820687,0.1897091047009529,17,0.5117905433551471
SIG034,T1,MONOCYTE,0.0414738377245578,0.0537556988750016,3,0.145020231786137
SIG034,T1,T_LYMPHOCYTE,-0.0327329492601115,0.0327329492601115,4,0.0883057980472603
SIG034,T2,BROAD_OR_UNRESOLVED,0.0828074923023441,0.1795983014165597,16,0.2163747580180402
SIG034,T2,DENDRITIC,-0.0356065075536705,0.0356065075536705,2,0.0428976743934984
SIG034,T2,GRANULOCYTE,-0.009154052141348,0.4796943522840686,17,0.5779216650682403
SIG034,T2,MONOCYTE,0.0132197502499046,0.031763956465398,3,0.0382682817136172
SIG034,T2,T_LYMPHOCYTE,-0.1033703994135065,0.1033703994135065,4,0.1245376208066037
SIG034,T3,BROAD_OR_UNRESOLVED,-0.0484126463926276,0.2305739914757145,16,0.2854511344859506
SIG034,T3,DENDRITIC,-0.0081988679986645,0.0189223275569941,2,0.0234258852600365
SIG034,T3,GRANULOCYTE,0.1481556386961456,0.493024778340609,17,0.6103658153562136
SIG034,T3,MONOCYTE,-0.0231667769424606,0.0260525500787218,3,0.0322531172255239
SIG034,T3,T_LYMPHOCYTE,-0.0391792868319299,0.0391792868319299,4,0.0485040476722752
SIG034,T4,BROAD_OR_UNRESOLVED,0.0118714885210032,0.1397569929002011,16,0.1623626840308152
SIG034,T4,DENDRITIC,-0.020511221213818,0.020511221213818,2,0.0238289108825016
SIG034,T4,GRANULOCYTE,0.1316811765497751,0.5681343619554657,17,0.6600300849567817
SIG034,T4,MONOCYTE,0.030297772851906,0.0482256249622548,3,0.0560261189472394
SIG034,T4,T_LYMPHOCYTE,-0.0756129447606275,0.0841422015669035,4,0.0977522011826619
