analysis_set,signature_id,time_window,time_label,pathway,tier,pathway_method,cohort_count,total_paired_n,pooled_spearman_rho,ci_low,ci_high,prediction_low,prediction_high,tau2_fisher_z,i2_percent,direction_consistency,p_value,fdr_within_analysis_window_tier
INDEPENDENT_ONLY,SIG001,T2,T48,HALLMARK_E2F_TARGETS,HALLMARK_SECONDARY,SINGSCORE,3,92,-0.0893723214299387,-0.4192165247620356,0.2613140857997404,-0.8158417693815823,0.7465128762111801,0.0,0.0,0.6666666666666666,0.3931993144922686,0.7454877176500816
INDEPENDENT_ONLY,SIG001,T2,T48,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_SECONDARY,SINGSCORE,3,92,0.0542466088008521,-0.5169703084286171,0.5920366140952336,-0.991991752901431,0.99355016674686,0.0277941202828907,43.39697384142395,0.6666666666666666,0.7450209083430299,0.9083684952063532
INDEPENDENT_ONLY,SIG001,T2,T48,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_SECONDARY,SINGSCORE,3,92,-0.0464528666210348,-0.4145228084079126,0.3346783495056415,-0.8371905128076882,0.8071278958137666,0.0,0.0,0.6666666666666666,0.6625796749123978,0.8693045334850659
INDEPENDENT_ONLY,SIG001,T2,T48,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_SECONDARY,SINGSCORE,3,92,-0.0465490493388509,-0.5953541110605068,0.5318733545140244,-0.9944217958395384,0.9932831006410552,0.0297620388680898,45.20230852479549,0.6666666666666666,0.7835787835980262,0.9110516272983342
INDEPENDENT_ONLY,SIG001,T2,T48,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_SECONDARY,SINGSCORE,3,92,-0.0542556317494278,-0.5695454371757727,0.4916483768942824,-0.9885985850830278,0.9858517482204672,0.0205691465786961,36.35155759132429,0.6666666666666666,0.7313952019859409,0.9076960448738468
INDEPENDENT_ONLY,SIG001,T2,T48,HALLMARK_G2M_CHECKPOINT,HALLMARK_SECONDARY,SINGSCORE,3,92,-0.0036517167594177,-0.404091701317638,0.3979628400956423,-0.8506120277359118,0.8485803319159392,0.0,0.0,0.6666666666666666,0.9738598650559996,0.9889350951652256
INDEPENDENT_ONLY,SIG001,T2,T48,HALLMARK_GLYCOLYSIS,HALLMARK_SECONDARY,SINGSCORE,3,92,0.0433565332550361,-0.2702105587628725,0.34860809277939,-0.7177618399199863,0.7572687425030604,0.0,0.0,0.6666666666666666,0.6191712173177317,0.853311593614353
INDEPENDENT_ONLY,SIG001,T2,T48,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,3,92,-0.0479617283012514,-0.4528909430387672,0.3733707019182463,-0.8736630743684912,0.848941873238789,0.0,0.0,0.6666666666666666,0.6852180530743703,0.8848485094818641
INDEPENDENT_ONLY,SIG001,T2,T48,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,SINGSCORE,3,92,-0.0876427176382204,-0.5187943336937492,0.379052196040544,-0.9252650003663944,0.8954352962200006,0.0018225470242659,5.829492109442435,0.6666666666666666,0.5186593539556222,0.7827995566403696
INDEPENDENT_ONLY,SIG001,T2,T48,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,SINGSCORE,3,92,0.0350509671241146,-0.5435613493986402,0.5910819016042675,-0.9941623332102189,0.9949243635565568,0.0315511272765417,46.559661949210366,0.6666666666666666,0.8366336288872623,0.9365727995734542
