signature_id,time_window,gene,gene_group,analysis_set,cohort_n,patient_n,pooled_contribution,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,fdr_within_signature_window
SIG034,T1,PFKFB4,MODULE_1,PRIMARY_INDEPENDENT,4,172,0.0059607499085248886,0.009024666893008237,-0.022759767901550383,0.03468126771860016,0.0002452377821843178,81.17080427204255,-0.07180693321171594,0.0837284330287657,0.5,0.5561239376450282,GSE236713;GSE57065;GSE95233;GSE54514,0.7775408593956582
SIG034,T1,PFKFB4,MODULE_1,STRICT_NEVER_USED,4,172,0.0059607499085248886,0.009024666893008237,-0.022759767901550383,0.03468126771860016,0.0002452377821843178,81.17080427204255,-0.07180693321171594,0.0837284330287657,0.5,0.5561239376450282,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,TYK2,MODULE_1,ALL_COHORTS,4,172,0.01617368595706787,0.008434998635435084,-0.010670244285350312,0.04301761619948605,0.0002393181770599827,84.17095767138981,-0.05963941886727433,0.09198679078141006,0.75,0.15101559023325456,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,TYK2,MODULE_1,PRESPECIFIED_NON_PILOT_ONLY,2,113,0.018119715815771407,0.004374333711422671,-0.03746146390704193,0.07370089553858473,0.0,0.0,,,1.0,0.1508028295466447,GSE236713;GSE95233,
SIG034,T1,TYK2,MODULE_1,PRIMARY_INDEPENDENT,4,172,0.01617368595706787,0.008434998635435084,-0.010670244285350312,0.04301761619948605,0.0002393181770599827,84.17095767138981,-0.05963941886727433,0.09198679078141006,0.75,0.15101559023325456,GSE236713;GSE57065;GSE95233;GSE54514,0.4975319646933085
SIG034,T1,TYK2,MODULE_1,STRICT_NEVER_USED,4,172,0.01617368595706787,0.008434998635435084,-0.010670244285350312,0.04301761619948605,0.0002393181770599827,84.17095767138981,-0.05963941886727433,0.09198679078141006,0.75,0.15101559023325456,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,BCL2L11,MODULE_2,ALL_COHORTS,4,172,0.0019576874823087763,0.002177733508225913,-0.004972832474838516,0.00888820743945607,1.0962714364037966e-06,61.056135218278115,-0.008439069594800825,0.012354444559418377,0.75,0.43492690289508695,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,BCL2L11,MODULE_2,PRESPECIFIED_NON_PILOT_ONLY,2,113,0.007939532707209002,0.008449769410168957,-0.09942496739403883,0.11530403280845683,0.00012136452971334034,83.3890448038276,,,1.0,0.519813039594892,GSE236713;GSE95233,
SIG034,T1,BCL2L11,MODULE_2,PRIMARY_INDEPENDENT,4,172,0.0019576874823087763,0.002177733508225913,-0.004972832474838516,0.00888820743945607,1.0962714364037966e-06,61.056135218278115,-0.008439069594800825,0.012354444559418377,0.75,0.43492690289508695,GSE236713;GSE57065;GSE95233;GSE54514,0.6915399809018965
SIG034,T1,BCL2L11,MODULE_2,STRICT_NEVER_USED,4,172,0.0019576874823087763,0.002177733508225913,-0.004972832474838516,0.00888820743945607,1.0962714364037966e-06,61.056135218278115,-0.008439069594800825,0.012354444559418377,0.75,0.43492690289508695,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,BCAT1,MODULE_2,ALL_COHORTS,4,172,0.018003047967839147,0.016895847592460697,-0.0357670797774334,0.0717731757131117,0.000993742765490464,86.97874015394052,-0.135885970935118,0.17189206687079628,0.75,0.3647830939669911,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,BCAT1,MODULE_2,PRESPECIFIED_NON_PILOT_ONLY,2,113,0.021322755998192885,0.020473081187991703,-0.23881240516202612,0.2814579171584119,0.0007261962609423399,85.13183392458559,,,1.0,0.48705982885182947,GSE236713;GSE95233,
SIG034,T1,BCAT1,MODULE_2,PRIMARY_INDEPENDENT,4,172,0.018003047967839147,0.016895847592460697,-0.0357670797774334,0.0717731757131117,0.000993742765490464,86.97874015394052,-0.135885970935118,0.17189206687079628,0.75,0.3647830939669911,GSE236713;GSE57065;GSE95233;GSE54514,0.612835597864545
SIG034,T1,BCAT1,MODULE_2,STRICT_NEVER_USED,4,172,0.018003047967839147,0.016895847592460697,-0.0357670797774334,0.0717731757131117,0.000993742765490464,86.97874015394052,-0.135885970935118,0.17189206687079628,0.75,0.3647830939669911,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,BTBD7,MODULE_2,ALL_COHORTS,4,172,-0.00198220302125386,0.0011300429547026877,-0.0055785040472599405,0.0016140980047522203,7.710148636594107e-07,3.732183120751749,-0.008139676326952124,0.004175270284444404,0.5,0.17768998739046732,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,BTBD7,MODULE_2,PRESPECIFIED_NON_PILOT_ONLY,2,113,0.00017003186467791067,7.469829203699678e-05,-0.0007790999274059657,0.001119163656761787,0.0,0.0,,,1.0,0.26352016068292766,GSE236713;GSE95233,
SIG034,T1,BTBD7,MODULE_2,PRIMARY_INDEPENDENT,4,172,-0.00198220302125386,0.0011300429547026877,-0.0055785040472599405,0.0016140980047522203,7.710148636594107e-07,3.732183120751749,-0.008139676326952124,0.004175270284444404,0.5,0.17768998739046732,GSE236713;GSE57065;GSE95233;GSE54514,0.4975319646933085
SIG034,T1,BTBD7,MODULE_2,STRICT_NEVER_USED,4,172,-0.00198220302125386,0.0011300429547026877,-0.0055785040472599405,0.0016140980047522203,7.710148636594107e-07,3.732183120751749,-0.008139676326952124,0.004175270284444404,0.5,0.17768998739046732,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,CEP55,MODULE_2,ALL_COHORTS,4,172,-0.013697060556264755,0.0045637782615959585,-0.02822103982301745,0.0008269187104879387,0.0,13.005384438497117,-0.03333341355124852,0.00593929243871901,1.0,0.05761127977154854,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,CEP55,MODULE_2,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.015542590199503553,0.004857663379100428,-0.07726505563502215,0.04617987523601504,0.0,0.0,,,1.0,0.19284503215515247,GSE236713;GSE95233,
SIG034,T1,CEP55,MODULE_2,PRIMARY_INDEPENDENT,4,172,-0.013697060556264755,0.0045637782615959585,-0.02822103982301745,0.0008269187104879387,0.0,13.005384438497117,-0.03333341355124852,0.00593929243871901,1.0,0.05761127977154854,GSE236713;GSE57065;GSE95233;GSE54514,0.3798705913010182
SIG034,T1,CEP55,MODULE_2,STRICT_NEVER_USED,4,172,-0.013697060556264755,0.0045637782615959585,-0.02822103982301745,0.0008269187104879387,0.0,13.005384438497117,-0.03333341355124852,0.00593929243871901,1.0,0.05761127977154854,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,HMMR,MODULE_2,ALL_COHORTS,4,172,-0.008840434093003254,0.001361489550038506,-0.01317330148120643,-0.004507566704800077,0.0,0.0,-0.014698450821929204,-0.002982417364077304,1.0,0.007416515158898839,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,HMMR,MODULE_2,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.00900731768163578,0.0029634404306004168,-0.04666139851706516,0.028646763153793605,0.0,0.0,,,1.0,0.2023488274061616,GSE236713;GSE95233,
