signature_id,time_window,gene,omitted_dataset,cohort_n,pooled_contribution,ci95_lower,ci95_upper,tau2,I2_percent
SIG001,T2,TGFBI,GSE54514,4,-0.04324076436632295,-0.09325872521011047,0.006777196477464567,0.0006732119306892221,62.398410818393494
SIG001,T2,TGFBI,GSE110487,4,-0.06953859460053055,-0.1751070839431987,0.03602989474213761,0.0034056282794864487,83.30075656974684
SIG001,T2,TGFBI,GSE8121,4,-0.08325675344145987,-0.16753519675161313,0.0010216898686933873,0.0014024554265409349,56.727725739381185
SIG001,T2,MTCH1,GSE57065,4,-0.01815397692809992,-0.06827377475867463,0.03196582090247479,0.0009015456457600643,92.15430994974588
SIG001,T2,MTCH1,GSE95233,4,-0.019858710279218744,-0.06867062950389657,0.028953208945459084,0.000846983013602106,91.79011595600025
SIG001,T2,MTCH1,GSE54514,4,-0.008053616807195626,-0.014584937048555813,-0.0015222965658354386,0.0,0.0
SIG001,T2,MTCH1,GSE110487,4,-0.02167805161213701,-0.06608199672608495,0.02272589350181093,0.0007100542971535806,91.69176521244957
SIG001,T2,MTCH1,GSE8121,4,-0.01872447766347738,-0.06880367771061578,0.03135472238366102,0.0008974353526495742,91.58675993948016
SIG001,T2,RPGRIP1,GSE57065,4,-0.1348215026346112,-0.3933903912678113,0.12374738599858884,0.025331408657593552,96.74137298199702
SIG001,T2,RPGRIP1,GSE95233,4,-0.10865247901495487,-0.3644333542184768,0.14712839618856707,0.024516131875883182,96.45850970421174
SIG001,T2,RPGRIP1,GSE54514,4,-0.14725526894627367,-0.39053027223420844,0.09601973434166108,0.02227407628156657,96.74616159590899
SIG001,T2,RPGRIP1,GSE110487,4,-0.05939623570691073,-0.17686890825050278,0.0580764368366813,0.00432178492466397,90.98231223498283
SIG001,T2,RPGRIP1,GSE8121,4,-0.15286387369246668,-0.384438298123718,0.07871055073878463,0.020017901728291328,95.75449830273473
SIG001,T2,HLA-DPB1,GSE57065,4,-0.03381459552356654,-0.08867189808070447,0.02104270703357139,0.0010730745909310361,91.31639003632654
SIG001,T2,HLA-DPB1,GSE95233,4,-0.02302454297561573,-0.08103360548362527,0.034984519532393815,0.0011361799142458136,90.6914782782276
SIG001,T2,HLA-DPB1,GSE54514,4,-0.028574689677281995,-0.09334326154101169,0.0361938821864477,0.0014167671746267488,90.47402770766301
SIG001,T2,HLA-DPB1,GSE110487,4,-0.011212010107604581,-0.045535559282654875,0.023111539067445716,0.00023849146307864115,65.87814485486507
SIG001,T2,HLA-DPB1,GSE8121,4,-0.037252338820379524,-0.09221394681083381,0.01770926917007476,0.0008597374553557826,75.68350115800222
SIG002,T2,PLAC8,GSE57065,3,-0.5965626664245974,-1.0509527129165237,-0.14217261993267127,0.018589619864994435,57.23677923557956
SIG002,T2,PLAC8,GSE95233,3,-0.5708126119642609,-0.9538279422633232,-0.1877972816651986,0.011079096018978715,42.55711648666621
SIG002,T2,PLAC8,GSE110487,3,-0.6075617441123274,-1.1175942702331085,-0.09752921799154635,0.026333721562795325,57.19422419884241
SIG002,T2,PLAC8,GSE8121,3,-0.6901269562216014,-0.8578857277051972,-0.5223681847380055,0.0,0.0
SIG002,T2,LAMP1,GSE57065,3,-0.09800502412450998,-0.3261686751663133,0.13015862691729338,0.004700757844905615,58.60483596193157
SIG002,T2,LAMP1,GSE95233,3,-0.1289250107927578,-0.3857394434171489,0.12788942183163327,0.006569933706662917,63.713231669310844
SIG002,T2,LAMP1,GSE110487,3,-0.09594994952957651,-0.308103353588746,0.11620345452959298,0.0037371835746771464,54.69265671729615
SIG002,T2,LAMP1,GSE8121,3,-0.14698902618689186,-0.286768134644089,-0.007209917729694704,0.0007795497861917403,19.538593706861075
