dataset,signature_id,time_window,paired_n,mean_total_delta_z,median_absolute_contribution_sum,median_dominance_ratio,median_cancellation_index,dominant_gene,dominant_gene_patient_n,dominant_gene_patient_fraction
GSE236713,SIG033,T4,68,0.1337305784515651,1.6333066872667494,0.37063192896537744,0.6239134709024521,CXCR6,30,0.4411764705882353
GSE236713,SIG034,T1,93,0.038877861060089586,1.535635673675299,0.10802843537639863,0.7098176375724579,CCL2,34,0.3655913978494624
GSE236713,SIG034,T4,68,-0.11696781161712609,2.2560280289338217,0.10261644514157567,0.6802778594912511,CCL2,27,0.39705882352941174
GSE54514,SIG001,T1,31,-0.4195946212790332,1.2462896491176312,0.29283645605023856,0.3780092928137553,ZDHHC19,16,0.5161290322580645
GSE54514,SIG001,T2,28,-0.9025502682172183,1.4179271788668408,0.33374664881213567,0.1811279083097198,ZDHHC19,19,0.6785714285714286
GSE54514,SIG001,T3,18,-0.4119717053981469,1.638544028922664,0.338949253762146,0.24717240887791758,ZDHHC19,12,0.6666666666666666
GSE54514,SIG001,T4,14,-0.886373669177827,1.6703778089415877,0.3523104730710289,0.147796586531173,ZDHHC19,11,0.7857142857142857
GSE54514,SIG002,T1,31,-0.15125700341406842,1.3676176060360712,0.5775909086571624,0.5181902381660572,PLAC8,20,0.6451612903225806
GSE54514,SIG002,T2,28,-0.08069721459949324,1.5569731526307917,0.5405900175431049,0.5168270256756589,PLAC8,18,0.6428571428571429
GSE54514,SIG002,T3,18,0.2041755603495001,1.894291408143226,0.5444129161752228,0.4856224823911128,PLAC8,11,0.6111111111111112
GSE54514,SIG002,T4,14,-0.2715841690750941,2.3440387743660525,0.5819263178600537,0.4901733146749526,PLAC8,9,0.6428571428571429
GSE54514,SIG003,T1,31,-0.4285675132032493,1.0277121986974416,0.7024039049328851,0.0,FAIM3,17,0.5483870967741935
GSE54514,SIG003,T2,28,-0.2660416779614451,1.2693702468423183,0.7388178806804679,0.0,FAIM3,16,0.5714285714285714
GSE54514,SIG003,T3,18,-0.13324538099638483,1.5680970662311644,0.6317119455762132,0.0,FAIM3,14,0.7777777777777778
GSE54514,SIG003,T4,14,-0.2535405595270996,1.3550475329489955,0.6668907715746943,0.2168142609514218,FAIM3,7,0.5
GSE54514,SIG004,T1,31,0.2647687367363289,1.241719579795628,0.6697099495134696,0.28905070923664167,IDNK,24,0.7741935483870968
GSE54514,SIG004,T2,28,0.34145689973471866,1.1228424842013407,0.7929498422923149,0.23443210573416318,IDNK,19,0.6785714285714286
GSE54514,SIG004,T3,18,0.06135947162628722,1.493489750344608,0.733846831629867,0.2548539446224828,IDNK,15,0.8333333333333334
GSE54514,SIG004,T4,14,0.5811404654642642,1.5582888588407928,0.7592017339469208,0.2933986820023702,IDNK,12,0.8571428571428571
GSE54514,SIG022,T1,31,0.16584064246499503,1.2589415968859565,0.4685215381712027,0.3595431763347332,IFI27,24,0.7741935483870968
GSE54514,SIG022,T2,28,0.014099384684184535,1.137859406950608,0.4362635955799702,0.2854538537122081,IFI27,19,0.6785714285714286
GSE54514,SIG022,T3,18,0.1531292505241708,1.4731482375051854,0.44185182552824576,0.3939457328436311,IFI27,11,0.6111111111111112
GSE54514,SIG022,T4,14,0.2705091237703237,1.1080676339037794,0.34287318869537625,0.4498751467218848,IFI27,7,0.5
GSE54514,SIG023,T1,31,-0.4620175596485778,0.9167581545432149,0.7244775536169868,0.0,IFI44L,22,0.7096774193548387
GSE54514,SIG023,T2,28,-0.14780333166766055,1.16599984099982,0.7353623182979356,0.0,IFI44L,14,0.5
GSE54514,SIG023,T3,18,-0.6630697001033901,1.4774349636897353,0.8823047280916898,0.014395749449728101,IFI44L,15,0.8333333333333334
GSE54514,SIG023,T4,14,-0.24896724061073322,1.1574296451604267,0.8536188110003211,0.0,IFI44L,9,0.6428571428571429
GSE54514,SIG033,T1,31,-0.5261966268699781,2.225923087759974,0.3370183306120656,0.5300787509227607,LTB,11,0.3548387096774194
GSE54514,SIG033,T2,28,-0.3836645874501775,2.069125336481598,0.3552745928860518,0.5778789985749087,TMSB10,11,0.39285714285714285
GSE54514,SIG033,T3,18,-0.4872485515812843,2.2578604129117075,0.36048498953814345,0.44565819519954514,TMSB10,7,0.3888888888888889
GSE54514,SIG033,T4,14,-0.13611721206248434,2.0700488375471577,0.40608631795322503,0.5496319003914829,TMSB10,6,0.42857142857142855
