dataset,signature_id,time_window,gene,gene_group,paired_n,mean_standardized_contribution,median_standardized_contribution,bootstrap_se,ci95_lower,ci95_upper,positive_fraction,negative_fraction,mean_absolute_contribution,development_overlap_status,analysis_role
GSE236713,SIG004,T4,NLRP1,RATIO_PANEL,68,0.038537478971077926,0.07681353242786038,0.07012298859526174,-0.10320949183782008,0.17720490229075284,0.5588235294117647,0.4411764705882353,0.45745073594997276,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG004,T4,IDNK,RATIO_PANEL,68,0.309718240752274,0.15801898547272444,0.07022137088135397,0.17553332839126762,0.4518907418132623,0.75,0.25,0.49008267599873584,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG004,T4,PLAC8,RATIO_PANEL,68,0.013928772308518304,0.007012329475426674,0.01440501166120314,-0.013720718419539148,0.04302906331005243,0.6176470588235294,0.38235294117647056,0.06549909902669313,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T1,IFI27,VIRAL_GEOMETRIC_MEAN,93,-0.02317552969917637,-0.07030734844530762,0.03954461763714195,-0.10372318342128746,0.055841040708022496,0.41935483870967744,0.5806451612903226,0.2884057051071577,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T1,JUP,VIRAL_GEOMETRIC_MEAN,93,-0.001893338985641387,0.005639436104821426,0.016132462821060303,-0.03328177804887141,0.029795847532676736,0.5483870967741935,0.45161290322580644,0.10956880440279353,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T1,LAX1,VIRAL_GEOMETRIC_MEAN,93,0.014419928846984295,0.026051534059678753,0.01682058840197031,-0.01883199168271091,0.047896774305285335,0.5806451612903226,0.41935483870967744,0.12111097242630858,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T1,HK3,BACTERIAL_GEOMETRIC_MEAN,93,0.03496712967928939,0.0326673106033547,0.020283303524527257,-0.004512669562297385,0.07606952034225038,0.5698924731182796,0.43010752688172044,0.1303570487784304,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T1,TNIP1,BACTERIAL_GEOMETRIC_MEAN,93,-0.005244364018960576,-0.007713847808017902,0.007478263673990831,-0.020204630067620934,0.00944374695477181,0.4838709677419355,0.5161290322580645,0.057440546544852235,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T1,GPAA1,BACTERIAL_GEOMETRIC_MEAN,93,0.003605977772040875,0.004047917811826494,0.006992416417911237,-0.00981324898993502,0.016935344092802226,0.5053763440860215,0.4946236559139785,0.04819565651773282,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T1,CTSB,BACTERIAL_GEOMETRIC_MEAN,93,-0.015119069138600361,-0.0022553458372727457,0.011257879180691923,-0.03753165655963234,0.006624850458538112,0.4838709677419355,0.5161290322580645,0.08115146220620569,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T4,IFI27,VIRAL_GEOMETRIC_MEAN,68,-0.11436420228085749,-0.057457438950780884,0.05977777565620058,-0.22929094431621805,-0.0007786130728752551,0.4264705882352941,0.5735294117647058,0.40891336768738984,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T4,JUP,VIRAL_GEOMETRIC_MEAN,68,0.011962632500915208,0.0259108048724832,0.021109647536441803,-0.031894564139812176,0.05194458906378279,0.5735294117647058,0.4264705882352941,0.13390690897671795,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T4,LAX1,VIRAL_GEOMETRIC_MEAN,68,0.1433274521940937,0.09923023849304609,0.027122979548856445,0.09148655812463963,0.19708732226292536,0.7058823529411765,0.29411764705882354,0.19655314406509294,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T4,HK3,BACTERIAL_GEOMETRIC_MEAN,68,0.13410174068924735,0.12987987692522063,0.02316246254867325,0.08882016003972253,0.17746960139350215,0.7941176470588235,0.20588235294117646,0.18490310000606944,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
