dataset,signature_id,time_window,time_label,pathway,tier,pathway_method,paired_n,spearman_rho,p_value,fisher_z,fisher_z_se,overlap_status,primary_independent_rule,fdr_within_dataset_signature_window_tier
GSE110487,SIG001,T2,T48,HALLMARK_SPERMATOGENESIS,HALLMARK_SECONDARY,SINGSCORE,31,-0.016532258064516133,0.9296613334661817,-0.016533764485999775,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,-0.04233870967741936,0.821087921070589,-0.042364035236893964,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,SINGSCORE,31,0.02217741935483871,0.9057358859945951,0.022181056326849986,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9279501281173965
GSE110487,SIG001,T2,T48,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_SECONDARY,SINGSCORE,31,-0.031048387096774197,0.8683097331573756,-0.031058369777358853,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_UV_RESPONSE_DN,HALLMARK_SECONDARY,SINGSCORE,31,-0.04395161290322581,0.8143878586132712,-0.04397994684306608,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_UV_RESPONSE_UP,HALLMARK_SECONDARY,SINGSCORE,31,-0.014516129032258067,0.9382218324805423,-0.014517148764422602,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,0.27217741935483875,0.13853355016350638,0.27921395210416616,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_SECONDARY,SINGSCORE,31,-0.13951612903225807,0.4541322584746682,-0.14043206569138705,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,Neutrophil degranulation,REACTOME_SUPPLEMENT,SINGSCORE,31,-0.11532258064516131,0.536727312359944,-0.11583793569476401,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9793899192479512
GSE110487,SIG001,T2,T48,TCR signaling,REACTOME_SUPPLEMENT,SINGSCORE,31,0.004838709677419356,0.9793899192479512,0.004838747441032666,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9793899192479512
GSE110487,SIG002,T2,T48,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,SINGSCORE,31,-0.12943548387096776,0.4876953542337762,-0.1301656723726506,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.7141253401280295
GSE110487,SIG002,T2,T48,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,31,-0.292741935483871,0.11000421247813971,-0.301562580118685,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.4950189561516287
