time_window,time_label,pathway,tier,cohort_count,total_paired_n,pooled_delta_z,ci_low,ci_high,prediction_low,prediction_high,tau2,i2_percent,direction_consistency,p_value,fdr_within_window_tier
T1,T24,HALLMARK_COMPLEMENT,PRESET_PRIMARY,4,172,-0.12438083694955535,-0.7062998374926991,0.45753816359358834,-1.7699918994548598,1.521230225555749,0.11284381893105021,85.61646024507117,0.5,0.5451538800855341,0.7941208517542305
T1,T24,HALLMARK_DNA_REPAIR,HALLMARK_SECONDARY,4,172,0.28314666480797457,-0.069816908041483,0.6361102376574321,-0.1940584580820312,0.7603517876979804,0.0,51.64472393719043,1.0,0.08372694962371133,0.2860670778810137
T1,T24,HALLMARK_E2F_TARGETS,HALLMARK_SECONDARY,4,172,0.13771527778292628,-0.09195624534145663,0.3673868009073092,-0.34056244175473693,0.6159929973205895,0.0071480253880490275,0.0,0.5,0.15238769903739008,0.48060735850253794
T1,T24,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_SECONDARY,4,172,-0.2154911427563976,-0.34950301686110796,-0.08147926865168728,-0.3966745785840207,-0.034307706928774495,0.0,0.0,1.0,0.014442092790026013,0.19737526813035552
T1,T24,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_SECONDARY,3,141,-0.3020040715975926,-1.2953241558743878,0.6913160126792026,-5.961197983362971,5.357189840167785,0.1450732887572254,88.59570324501355,0.6666666666666666,0.3209553674692438,0.6916156081264921
T1,T24,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_SECONDARY,4,172,-0.29852742306022495,-0.9451339869161027,0.34807914079565283,-2.1231980511647452,1.5261432050442951,0.13856242821818351,85.96732939910594,0.75,0.2380880174918993,0.6783101669635883
T1,T24,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_SECONDARY,4,172,0.20340610851649685,0.10796455226050679,0.2988476647724869,0.07436956456305432,0.33244265246993937,0.0,0.0,1.0,0.006551246134675823,0.19737526813035552
T1,T24,HALLMARK_G2M_CHECKPOINT,HALLMARK_SECONDARY,4,172,0.0627024427077463,-0.22509175525645095,0.3504966406719435,-0.6470463062654631,0.7724511916809557,0.019032608009014275,28.40539070215591,0.5,0.537939172390382,0.7862132403769624
T1,T24,HALLMARK_GLYCOLYSIS,HALLMARK_SECONDARY,4,172,0.05191484359414718,-0.2367002849221021,0.34052997211039643,-0.6435266780266441,0.7473563652149385,0.017899916188292453,33.40366078791416,0.5,0.6071072070556034,0.7862132403769624
T1,T24,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,4,172,-0.045105645979408554,-0.4485261171104906,0.35831482515167346,-1.0334313851697172,0.9432200932109002,0.036693594878604345,45.501761885889955,0.75,0.7455232464082632,0.8491629157706999
T1,T24,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,4,172,-0.12555093467860265,-0.8041042875538845,0.5530024181966792,-2.016767859806831,1.7656659904496257,0.1477396085444407,88.54293270028275,0.5,0.5973674302215695,0.7862132403769624
T1,T24,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,4,172,0.025862958745860812,-0.22715376616052113,0.27887968365224275,-0.5605317515680551,0.6122576690597769,0.012253226217747397,5.449066415499644,0.75,0.7663177532564853,0.8491629157706999
T1,T24,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_SECONDARY,4,172,-0.18512266406245606,-1.172200529060994,0.801955200936082,-3.025708482947521,2.655463154822609,0.3396549735417232,89.27588361910203,0.5,0.5926459694456423,0.7862132403769624
T1,T24,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_SECONDARY,4,172,-0.18647034488048272,-0.6392093144044451,0.26626862464347956,-1.4511992386913037,1.0782585489303382,0.06616342123108007,79.38826448600442,0.75,0.2812505570336829,0.6783101669635883
T1,T24,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,4,172,-0.16253135138889338,-0.7837343700697667,0.45867166729197983,-1.9153079094235295,1.5902452066457429,0.12784949576425636,87.7257306345349,0.5,0.46612748297687845,0.7941208517542305
T1,T24,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,4,172,0.09513064411246562,-0.45045523956113054,0.6407165277860618,-1.4195341504157732,1.6097954386407043,0.09453513652598644,85.90957696533282,0.5,0.6176495513644016,0.7941208517542305
T1,T24,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,4,172,0.04123133224184695,-0.5413209036752663,0.6237835681589602,-1.5947259875107078,1.6771886519944017,0.11105979711615435,86.96921966196146,0.5,0.8362606693614927,0.8862827061335107
T1,T24,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_SECONDARY,3,141,-0.27377831092479654,-0.6097277542192171,0.062171132369624016,-1.265873810086949,0.718317188237356,0.0,11.269964259397462,1.0,0.07258997336071803,0.2705626279808581
T1,T24,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_SECONDARY,4,172,-0.39077754548495536,-1.4825140800882686,0.7009589891183579,-3.568230917042717,2.7866758260728064,0.4276801978161766,92.05322358225195,0.5,0.33737346737877666,0.6916156081264921
T1,T24,HALLMARK_MITOTIC_SPINDLE,HALLMARK_SECONDARY,4,172,0.0808644609193463,-0.17079184381846274,0.3325207656571553,-0.4557589869519183,0.6174879087906109,0.00930180880597441,12.381357877825465,0.5,0.3817574614003198,0.7453359960672911
T1,T24,HALLMARK_MTORC1_SIGNALING,HALLMARK_SECONDARY,4,172,-0.09491191172008667,-0.5782040289951008,0.38838020555492747,-1.4042855309873767,1.2144617075472033,0.06954728084104876,75.60215707978446,0.5,0.576288667010742,0.7862132403769624
T1,T24,HALLMARK_MYC_TARGETS_V1,HALLMARK_SECONDARY,4,172,0.083022401520452,-0.3859257799161173,0.5519705829570213,-1.0078656395298788,1.1739104425707827,0.04256837631679754,56.6267130637883,0.5,0.6125163472629975,0.7862132403769624
