dataset,time_window,time_label,pathway,tier,paired_n,mean_delta_z,median_delta_z,se_delta_z,bootstrap_ci_low,bootstrap_ci_high,proportion_increasing,mean_ssgsea_delta_z,se_ssgsea_delta_z,p_value,fdr_within_dataset_window_tier
GSE95233,T2,T48,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_SECONDARY,31,0.44465412345841493,0.42781196694876883,0.19201337650578137,0.073420347286306,0.8058510907865061,0.7419354838709677,0.32283293323251333,0.21835766071874346,0.020572165421203388,0.07028823185577825
GSE95233,T2,T48,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_SECONDARY,31,-0.8049565352809465,-0.7588292581582684,0.18243890048313974,-1.1822244622808025,-0.44659420021752416,0.16129032258064516,-0.793687857840864,0.19386528975026396,1.0232651178723519e-05,0.00020976934916383213
GSE95233,T2,T48,HALLMARK_COAGULATION,PRESET_PRIMARY,31,-0.6782407053583527,-0.33759145819478004,0.25354460667265827,-1.1944301767526482,-0.18436568084489918,0.3548387096774194,-0.7566802243188623,0.25603063076504673,0.007472144152183718,0.03362464868482673
GSE95233,T2,T48,HALLMARK_COMPLEMENT,PRESET_PRIMARY,31,-0.3605055475109349,-0.5216402708312078,0.2322568397773885,-0.7912059186747323,0.1317435214591105,0.3548387096774194,-0.5276573798429157,0.22859041521236795,0.12061800055432595,0.2713905012472334
GSE95233,T2,T48,HALLMARK_DNA_REPAIR,HALLMARK_SECONDARY,31,0.3927294494097106,0.4705608358981377,0.2214984240341916,-0.023940962324033317,0.8366899251669144,0.6129032258064516,0.4553064368245531,0.21672381999862525,0.07621917384782037,0.14880886322669692
GSE95233,T2,T48,HALLMARK_E2F_TARGETS,HALLMARK_SECONDARY,31,-0.013035259586148571,-0.05719648478475877,0.1783267212899088,-0.3535946820698336,0.3229479171889938,0.45161290322580644,0.005468109888965427,0.1818058498493609,0.9417284325355426,0.9625653477464439
GSE95233,T2,T48,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_SECONDARY,31,-0.960982390561336,-0.7014333556267842,0.2564701180374882,-1.47127208829379,-0.5061868045888328,0.1935483870967742,-0.81279292745148,0.2510600305426175,0.00017899307046323134,0.0014677431777984971
GSE95233,T2,T48,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_SECONDARY,31,-0.2650283238719531,0.07006318794406323,0.27376003027441537,-0.8199968546370097,0.2559354112883103,0.5161290322580645,-0.2062514914652834,0.2515048996920538,0.3329921705971499,0.4539339066615311
GSE95233,T2,T48,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_SECONDARY,31,-0.6243186927374065,-0.5920801182518152,0.1662518766540482,-0.9478124483199118,-0.3173077147130227,0.3225806451612903,-0.705400670578957,0.16598257876127898,0.00017316299504981656,0.0014677431777984971
GSE95233,T2,T48,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_SECONDARY,31,-0.2944077709234139,-0.2451167206427276,0.19278162328723494,-0.6492964598383469,0.0776711266638567,0.41935483870967744,-0.31623016054635533,0.20085934219836474,0.1267220204820398,0.225895775641897
GSE95233,T2,T48,HALLMARK_G2M_CHECKPOINT,HALLMARK_SECONDARY,31,-0.09984520801466631,-0.11434056727375612,0.15551820602290503,-0.41682076810822233,0.20436007753895788,0.4838709677419355,-0.10304563616795757,0.15847598660158824,0.520862663056714,0.6280990936860376
