time_window,pathway,tier,omitted_dataset,remaining_cohorts,pooled_delta_z,ci_low,ci_high
T1,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_SECONDARY,GSE95233,2,-0.29578395795194723,-1.0504076807197231,0.45883976481582855
T1,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_SECONDARY,GSE236713,3,-0.634862519352171,-2.481610393158481,1.2118853544541395
T1,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_SECONDARY,GSE54514,3,-0.6304600418586904,-2.447802753247228,1.186882669529847
T1,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_SECONDARY,GSE57065,3,-0.18858278338317538,-1.9031299736682812,1.5259644069019302
T1,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_SECONDARY,GSE95233,3,-0.23128927253967715,-2.032425748931095,1.5698472038517406
T1,HALLMARK_MITOTIC_SPINDLE,HALLMARK_SECONDARY,GSE236713,3,-0.05380430169516712,-0.19571897657820567,0.08811037318787143
T1,HALLMARK_MITOTIC_SPINDLE,HALLMARK_SECONDARY,GSE54514,3,0.11801968150247363,-0.2813239028301465,0.5173632658350938
T1,HALLMARK_MITOTIC_SPINDLE,HALLMARK_SECONDARY,GSE57065,3,0.09973488658625383,-0.37048595267182943,0.5699557258443371
T1,HALLMARK_MITOTIC_SPINDLE,HALLMARK_SECONDARY,GSE95233,3,0.08701736192577966,-0.4019354138980772,0.5759701377496365
T1,HALLMARK_MTORC1_SIGNALING,HALLMARK_SECONDARY,GSE236713,3,-0.22977841245660657,-0.7371426570273132,0.27758583211410004
T1,HALLMARK_MTORC1_SIGNALING,HALLMARK_SECONDARY,GSE54514,3,-0.10522448882981465,-0.9028870346938543,0.6924380570342251
T1,HALLMARK_MTORC1_SIGNALING,HALLMARK_SECONDARY,GSE57065,3,0.017778908325430595,-0.6953330539386422,0.7308908705895034
T1,HALLMARK_MTORC1_SIGNALING,HALLMARK_SECONDARY,GSE95233,3,0.022596761818733317,-0.6861056918567963,0.7312992154942628
T1,HALLMARK_MYC_TARGETS_V1,HALLMARK_SECONDARY,GSE236713,3,-0.035833136879699995,-0.8499995479534597,0.7783332741940596
T1,HALLMARK_MYC_TARGETS_V1,HALLMARK_SECONDARY,GSE54514,3,0.009729336844853907,-0.632533254304745,0.6519919279944528
T1,HALLMARK_MYC_TARGETS_V1,HALLMARK_SECONDARY,GSE57065,3,0.15343958955494272,-0.5390108307388934,0.8458900098487789
T1,HALLMARK_MYC_TARGETS_V1,HALLMARK_SECONDARY,GSE95233,3,0.15894280920927414,-0.5485656152226532,0.8664512336412016
T1,HALLMARK_MYC_TARGETS_V2,HALLMARK_SECONDARY,GSE236713,3,0.19136923133185255,-0.38712623737578133,0.7698647000394865
T1,HALLMARK_MYC_TARGETS_V2,HALLMARK_SECONDARY,GSE54514,3,0.2311056160547661,0.009652469033048117,0.45255876307648407
T1,HALLMARK_MYC_TARGETS_V2,HALLMARK_SECONDARY,GSE57065,3,0.27271318671722233,-0.009872957097219082,0.5552993305316638
T1,HALLMARK_MYC_TARGETS_V2,HALLMARK_SECONDARY,GSE95233,3,0.2637659806739108,-0.04366251973982255,0.5711944810876441
T1,HALLMARK_MYOGENESIS,HALLMARK_SECONDARY,GSE236713,3,-0.08488215291403513,-0.7085298505785284,0.5387655447504581
T1,HALLMARK_MYOGENESIS,HALLMARK_SECONDARY,GSE54514,3,-0.0706559363652256,-0.4402560966218943,0.2989442238914431
T1,HALLMARK_MYOGENESIS,HALLMARK_SECONDARY,GSE57065,3,0.009208130845595765,-0.202846836759294,0.22126309845048553
