dataset,signature_id,time_window,paired_n,mean_delta_z,median_delta_z,q1_delta_z,q3_delta_z,bootstrap_se,ci95_lower,ci95_upper,mean_raw_change,proportion_increasing,paired_correlation,winsorized_mean_delta_z,max_leave_one_out_mean_shift,mixed_model_effect,mixed_model_se,model_status,analysis_role
GSE54514,SIG022,T3,18,0.1531292505241713,-0.15571167798215899,-0.5908578961457968,0.8476307801797096,0.24956260529676813,-0.32508233839772943,0.6474417428676301,0.15543504624680762,0.4444444444444444,0.25060417212795044,0.15767823321646468,0.112918214089296,0.153129250524171,0.26336528123681036,CONVERGED,PILOT
GSE54514,SIG022,T4,14,0.2705091237703241,0.3698193489214303,-0.05103302702340326,0.806043382852118,0.22491684023359526,-0.1808104137060736,0.6900946657472233,0.27458240681969975,0.7142857142857143,0.5089472355906948,0.26367433902404647,0.13487655469254384,0.270509123770324,0.24050158699880578,CONVERGED,PILOT
GSE54514,SIG023,T1,31,-0.4620175596485778,-0.5768043212490255,-0.8760429901719827,-0.04954797551504757,0.19062061227530191,-0.8259092418910766,-0.09184445221111923,-0.6926180396209679,0.22580645161290322,0.45707016693217467,-0.4653851853831749,0.08838552636712771,-0.46201755964857827,0.19376962658608993,CONVERGED,PILOT
GSE54514,SIG023,T2,28,-0.14780333166766055,-0.37135449689847944,-0.7124171334078299,0.17544425446419895,0.2007034954741893,-0.5280127296192729,0.27082259929160113,-0.22157437891964307,0.39285714285714285,0.28687743258059156,-0.1585784367068907,0.09513448950259681,-0.1478033316676605,0.20234119403820397,CONVERGED,PILOT
GSE54514,SIG023,T3,18,-0.6630697001033902,-0.7225723371040085,-1.6889666350234616,-0.05836881873290075,0.3097337639777855,-1.224006271413901,-0.04554957787937119,-0.9940185740277779,0.2222222222222222,0.1703469355987287,-0.6830354570159184,0.17770830310775942,-0.6630697001033903,0.3126542260310855,CONVERGED,PILOT
GSE54514,SIG023,T4,14,-0.24896724061073325,-0.4068087569489084,-1.1894560498397928,0.24283150253211278,0.2886862281634624,-0.767485985146979,0.36049944097290637,-0.37323084051785704,0.42857142857142855,0.41849374860354305,-0.2567124800128941,0.17730488284610404,-0.24896724061073328,0.2886965944465295,CONVERGED,PILOT
GSE54514,SIG033,T1,31,-0.526196626869978,-0.3677251379181688,-1.4696990836389752,0.46621479876047023,0.2428280243661053,-0.9984144747479422,-0.050160311050765904,-0.4224552301161999,0.41935483870967744,-0.4192555510033595,-0.5271995908768325,0.08516937747001596,-0.5261966268699694,0.20631669131995153,CONVERGED,PILOT
GSE54514,SIG033,T2,28,-0.3836645874501777,-0.3905434643162756,-1.2251447212965267,0.3121857992128521,0.22326810731580632,-0.8140381864945728,0.05917027816750608,-0.30802385135538224,0.39285714285714285,0.18328599924635713,-0.4043141517723493,0.11155148267381931,-0.3836645874501818,0.2257152571456911,CONVERGED,PILOT
GSE54514,SIG033,T3,18,-0.48724855158128416,-0.5945166637408863,-1.2864062950781494,0.26374683066393667,0.2788587130260714,-1.0227133709444935,0.04440363816011544,-0.39118589605273013,0.3888888888888889,-0.041157192034629905,-0.4871470619208458,0.11975065686563663,-0.48724855158128666,0.27375380870761123,CONVERGED,PILOT
GSE54514,SIG033,T4,14,-0.1361172120624838,-0.2341677111095038,-0.6704694557306119,0.6252651695927187,0.2485796197362007,-0.6267992182813972,0.3357810850153388,-0.10928125572884209,0.5,0.38840315736764897,-0.13377864710677853,0.1258559072073716,-0.13611721206248314,0.252423262264918,CONVERGED,PILOT
GSE54514,SIG034,T1,31,-0.2207005629437101,-0.14804190755346838,-1.096429632056104,0.5816725784676429,0.21683523686130554,-0.6280096835979193,0.21026174582830828,-0.014063679603777345,0.3870967741935484,0.052701292887257924,-0.22603114431238766,0.07638543769041467,-0.22070056294372145,0.21795721936118156,CONVERGED,PILOT
GSE54514,SIG034,T2,28,0.0469647608142556,0.12359556774138436,-0.9783828146954614,0.8468123577777579,0.24291973334442282,-0.4173369520661285,0.5461688408973796,0.002992730693343037,0.5357142857142857,-0.08851012667499072,0.05103518593091595,0.09446881824823272,0.04696476081427032,0.24280843176804337,CONVERGED,PILOT
GSE54514,SIG034,T3,18,0.029198060530463112,0.33635806604352547,-1.0910013521226491,0.6602112175400843,0.31732437772012123,-0.5742974589932663,0.6449884005489452,0.0018605850518689545,0.6111111111111112,-0.043732803822133494,0.05889968409649363,0.1754321938774337,0.02919806053046159,0.3125260788934265,CONVERGED,PILOT
GSE54514,SIG034,T4,14,0.44780314199171023,0.6427134096497391,-0.14471660623272964,1.2198455895852163,0.42807498759955137,-0.4287586630726231,1.2899628744939982,0.028535314230904236,0.6428571428571429,-0.44067165759815713,0.45650213680197727,0.25348513066101264,0.4478031419917068,0.3665565315949448,CONVERGED,PILOT
