record_type,dataset,signature_id,time_window,scaling_method,paired_n,mean_change,bootstrap_se,ci95_lower,ci95_upper,cohort_n,tau2,I2_percent,prediction_lower,prediction_upper
COHORT,GSE54514,SIG001,T3,RAW_SCORE,18,-0.31326266122256397,,,,,,,,
COHORT,GSE54514,SIG001,T4,BASELINE_SD,14,-0.8863736691778277,0.3938896503037942,-1.637093416858466,-0.0616389451412831,,,,,
COHORT,GSE54514,SIG001,T4,BASELINE_MAD,14,-0.6769809312047987,0.2902540822477428,-1.2327539338471372,-0.08608204696000699,,,,,
COHORT,GSE54514,SIG001,T4,HEALTHY_CONTROL_SD,14,-0.7499802683848241,0.326584552247983,-1.3640914201071848,-0.088111474192672,,,,,
COHORT,GSE54514,SIG001,T4,BASELINE_PERCENTILE,14,-0.3163265306122449,0.11347017806340425,-0.5255102040816326,-0.08673469387755102,,,,,
COHORT,GSE54514,SIG001,T4,RAW_SCORE,14,-0.6739971964237316,,,,,,,,
COHORT,GSE54514,SIG002,T1,BASELINE_SD,31,-0.1512570034140688,0.17808949233208346,-0.5104390311920997,0.19489821391123482,,,,,
COHORT,GSE54514,SIG002,T1,BASELINE_MAD,31,-0.12484628385647695,0.15321795824722878,-0.42276892712678876,0.1795903771342172,,,,,
COHORT,GSE54514,SIG002,T1,HEALTHY_CONTROL_SD,31,-0.1230559299102532,0.1464959933744536,-0.40667523621473217,0.15608898611020353,,,,,
COHORT,GSE54514,SIG002,T1,BASELINE_PERCENTILE,31,-0.06659729448491154,0.056705109852805885,-0.17793964620187303,0.0437044745057232,,,,,
COHORT,GSE54514,SIG002,T1,RAW_SCORE,31,-0.19239259382258123,,,,,,,,
COHORT,GSE54514,SIG002,T2,BASELINE_SD,28,-0.08069721459949353,0.22911658141879368,-0.5360848736193695,0.35601095677385547,,,,,
COHORT,GSE54514,SIG002,T2,BASELINE_MAD,28,-0.06660681576994888,0.1890354594517888,-0.4386030426327299,0.3061944718991053,,,,,
COHORT,GSE54514,SIG002,T2,HEALTHY_CONTROL_SD,28,-0.06565164296243296,0.18291082293948463,-0.4347343031466051,0.29328076271210474,,,,,
COHORT,GSE54514,SIG002,T2,BASELINE_PERCENTILE,28,-0.04081632653061224,0.06877661985422102,-0.17605229591836735,0.08931760204081617,,,,,
COHORT,GSE54514,SIG002,T2,RAW_SCORE,28,-0.10264348810714284,,,,,,,,
COHORT,GSE54514,SIG002,T3,BASELINE_SD,18,0.20417556034949935,0.2785482366484068,-0.3463222654725077,0.7436154231908922,,,,,
COHORT,GSE54514,SIG002,T3,BASELINE_MAD,18,0.1685248245608039,0.23301929156491474,-0.2828565944730517,0.6390767783479617,,,,,
COHORT,GSE54514,SIG002,T3,HEALTHY_CONTROL_SD,18,0.16610809996661446,0.2339776104048166,-0.28642409752826076,0.6268780662960942,,,,,
COHORT,GSE54514,SIG002,T3,BASELINE_PERCENTILE,18,0.04012345679012345,0.08636337406416715,-0.12037037037037039,0.20987654320987653,,,,,
COHORT,GSE54514,SIG002,T3,RAW_SCORE,18,0.25970278905555433,,,,,,,,
COHORT,GSE54514,SIG002,T4,BASELINE_SD,14,-0.2715841690750945,0.31364146245422164,-0.9002999928645911,0.3156737862783145,,,,,
COHORT,GSE54514,SIG002,T4,BASELINE_MAD,14,-0.2241633345760239,0.2752014372534749,-0.785329640657382,0.30933848873391523,,,,,
COHORT,GSE54514,SIG002,T4,HEALTHY_CONTROL_SD,14,-0.22094872779511052,0.26119283736676224,-0.7259508679400528,0.2873473484954696,,,,,
COHORT,GSE54514,SIG002,T4,BASELINE_PERCENTILE,14,-0.06122448979591839,0.09452423823028674,-0.23979591836734698,0.12755102040816324,,,,,
COHORT,GSE54514,SIG002,T4,RAW_SCORE,14,-0.34544372525,,,,,,,,
COHORT,GSE54514,SIG003,T1,BASELINE_SD,31,-0.4285675132032493,0.18726948443485922,-0.7851244316706963,-0.06698926050182763,,,,,
COHORT,GSE54514,SIG003,T1,BASELINE_MAD,31,-0.34158980686946083,0.15342824511286476,-0.6614550415041934,-0.043497417380672365,,,,,
COHORT,GSE54514,SIG003,T1,HEALTHY_CONTROL_SD,31,-0.36300227526967654,0.15574317314235306,-0.6575483308235691,-0.0613349928670407,,,,,
COHORT,GSE54514,SIG003,T1,BASELINE_PERCENTILE,31,-0.15712799167533822,0.055234427107236264,-0.27161810613943815,-0.05411030176899063,,,,,
COHORT,GSE54514,SIG003,T1,RAW_SCORE,31,-0.05815327593301885,,,,,,,,
COHORT,GSE54514,SIG003,T2,BASELINE_SD,28,-0.2660416779614452,0.2270342492924823,-0.7151386503513003,0.18190151374817162,,,,,
COHORT,GSE54514,SIG003,T2,BASELINE_MAD,28,-0.21204856316530601,0.18146973411461437,-0.555683472885617,0.14541603927112695,,,,,
COHORT,GSE54514,SIG003,T2,HEALTHY_CONTROL_SD,28,-0.2253407723201987,0.1874416513742243,-0.5962620631712954,0.14780448958652911,,,,,
COHORT,GSE54514,SIG003,T2,BASELINE_PERCENTILE,28,-0.10076530612244898,0.06673870183051117,-0.2270727040816327,0.03571428571428571,,,,,
