signature_id,time_window,factor,level,cohort_n,patient_n,pooled_delta_z,ci95_lower,ci95_upper,tau2,I2_percent,analysis_status,interaction_p
SIG022,T1,clinical_group,INTERACTION_SEPTIC_SHOCK_VS_BROADER_SEPSIS,4,,-0.20270352868501854,-0.4099419427082661,0.004534885338229017,,,FORMAL_INTERACTION,0.05522390925461276
SIG022,T1,case_grade,S1,0,0.0,,,,,,NOT_AVAILABLE,
SIG022,T1,case_grade,S2,4,172.0,-0.05683979883162078,-0.31535049508661994,0.2016708974233784,0.010086705835168425,49.54582755141195,FORMAL_SUBGROUP_META,
SIG022,T2,platform_class,MICROARRAY,4,115.0,0.00420768674408206,-0.17037335144412488,0.178788724932289,0.0,0.0,FORMAL_SUBGROUP_META,
SIG022,T2,platform_class,RNASEQ,1,31.0,0.5634089336759799,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG022,T2,platform,AFFYMETRIX,3,87.0,0.005994393437114563,-0.3029765793555694,0.3149653662297985,0.0021781590611543427,3.917619528674157,FORMAL_SUBGROUP_META,
SIG022,T2,platform,AGILENT,0,0.0,,,,,,NOT_AVAILABLE,
SIG022,T2,platform,ILLUMINA,1,28.0,0.014099384684185295,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG022,T2,platform,RNASEQ,1,31.0,0.5634089336759799,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG022,T2,age_group,ADULT,4,116.0,0.20917258424762242,-0.20453956150323077,0.6228847299984757,0.053155782273282916,77.58786687033343,FORMAL_SUBGROUP_META,
SIG022,T2,age_group,PEDIATRIC,1,30.0,-0.10729811256251873,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG022,T2,sample_group,WHOLE_BLOOD,5,146.0,0.13902105677245458,-0.1907176237751375,0.46875973732004667,0.058762190129765884,82.2218807936682,FORMAL_SUBGROUP_META,
SIG022,T2,sample_group,PBL,0,0.0,,,,,,NOT_AVAILABLE,
SIG022,T2,clinical_group,SEPTIC_SHOCK,4,118.0,0.16333793264027371,-0.29958623253651606,0.6262620978170634,0.0733851839391182,86.21811821178088,FORMAL_SUBGROUP_META,
SIG022,T2,clinical_group,BROADER_SEPSIS,1,28.0,0.014099384684185295,,,,,DESCRIPTIVE_SINGLE_COHORT,
