dataset,signature_id,time_window,paired_n,mean_delta_z,median_delta_z,q1_delta_z,q3_delta_z,bootstrap_se,ci95_lower,ci95_upper,mean_raw_change,proportion_increasing,paired_correlation,winsorized_mean_delta_z,max_leave_one_out_mean_shift,mixed_model_effect,mixed_model_se,model_status,analysis_role
GSE54514,SIG002,T4,14,-0.2715841690750945,0.05333160018254168,-1.2205985794264291,0.723003514995304,0.3243519057393424,-0.9395619267176071,0.3560390304778292,-0.34544372525,0.5714285714285714,-0.5986660138068032,-0.2653235549051958,0.17231284988752482,-0.2715841690750978,0.2904160801335433,CONVERGED,PILOT
GSE54514,SIG003,T3,18,-0.13324538099638483,-0.10866290090002756,-1.5378495532021286,0.7696028062827502,0.3648225399629236,-0.8119154307637291,0.6036811086441278,-0.018080361131358486,0.4444444444444444,-0.00620963085983015,-0.14325267558698881,0.17671283565231932,-0.13324538099638364,0.3672642324029548,CONVERGED,PILOT
GSE54514,SIG003,T4,14,-0.2535405595270996,-0.04529929779457979,-1.101698387877986,0.6582781308286786,0.4011343694789256,-1.0023830286574409,0.5789167431212446,-0.034403480581597264,0.5,-0.41960798766760593,-0.2866897314526252,0.2601581966495858,-0.25354055952709803,0.3509980680582124,CONVERGED,PILOT
GSE54514,SIG004,T3,18,0.06135947162628715,-0.017100436201772904,-0.5386320648328481,1.1123345537650229,0.2948066027203418,-0.5217489022675073,0.6169033523711054,0.003436868698113741,0.5,0.03864711485433974,0.05743998521788196,0.12447165301773422,0.0613594716262872,0.3009497328241525,CONVERGED,PILOT
GSE54514,SIG004,T4,14,0.5811404654642642,0.5509144515223767,-0.44627214272651594,1.8756874357922724,0.3524265075221366,-0.14734042812707024,1.215878863144334,0.03255085844164458,0.6428571428571429,-0.23366965041237847,0.5876588702158337,0.1834144031848881,0.5811404654642645,0.33362924464061455,CONVERGED,PILOT
GSE54514,SIG022,T3,18,0.1531292505241713,-0.15571167798215899,-0.5908578961457968,0.8476307801797096,0.24956260529676813,-0.32508233839772943,0.6474417428676301,0.15543504624680762,0.4444444444444444,0.25060417212795044,0.15767823321646468,0.112918214089296,0.153129250524171,0.26336528123681036,CONVERGED,PILOT
GSE54514,SIG022,T4,14,0.2705091237703241,0.3698193489214303,-0.05103302702340326,0.806043382852118,0.22491684023359526,-0.1808104137060736,0.6900946657472233,0.27458240681969975,0.7142857142857143,0.5089472355906948,0.26367433902404647,0.13487655469254384,0.270509123770324,0.24050158699880578,CONVERGED,PILOT
GSE54514,SIG023,T3,18,-0.6630697001033902,-0.7225723371040085,-1.6889666350234616,-0.05836881873290075,0.3097337639777855,-1.224006271413901,-0.04554957787937119,-0.9940185740277779,0.2222222222222222,0.1703469355987287,-0.6830354570159184,0.17770830310775942,-0.6630697001033903,0.3126542260310855,CONVERGED,PILOT
GSE54514,SIG023,T4,14,-0.24896724061073325,-0.4068087569489084,-1.1894560498397928,0.24283150253211278,0.2886862281634624,-0.767485985146979,0.36049944097290637,-0.37323084051785704,0.42857142857142855,0.41849374860354305,-0.2567124800128941,0.17730488284610404,-0.24896724061073328,0.2886965944465295,CONVERGED,PILOT
GSE54514,SIG033,T3,18,-0.48724855158128416,-0.5945166637408863,-1.2864062950781494,0.26374683066393667,0.2788587130260714,-1.0227133709444935,0.04440363816011544,-0.39118589605273013,0.3888888888888889,-0.041157192034629905,-0.4871470619208458,0.11975065686563663,-0.48724855158128666,0.27375380870761123,CONVERGED,PILOT
GSE54514,SIG033,T4,14,-0.1361172120624838,-0.2341677111095038,-0.6704694557306119,0.6252651695927187,0.2485796197362007,-0.6267992182813972,0.3357810850153388,-0.10928125572884209,0.5,0.38840315736764897,-0.13377864710677853,0.1258559072073716,-0.13611721206248314,0.252423262264918,CONVERGED,PILOT
GSE54514,SIG034,T3,18,0.029198060530463112,0.33635806604352547,-1.0910013521226491,0.6602112175400843,0.31732437772012123,-0.5742974589932663,0.6449884005489452,0.0018605850518689545,0.6111111111111112,-0.043732803822133494,0.05889968409649363,0.1754321938774337,0.02919806053046159,0.3125260788934265,CONVERGED,PILOT
GSE54514,SIG034,T4,14,0.44780314199171023,0.6427134096497391,-0.14471660623272964,1.2198455895852163,0.42807498759955137,-0.4287586630726231,1.2899628744939982,0.028535314230904236,0.6428571428571429,-0.44067165759815713,0.45650213680197727,0.25348513066101264,0.4478031419917068,0.3665565315949448,CONVERGED,PILOT
