signature_id,time_window,analysis_set,omitted_dataset,cohort_n,pooled_delta_z,ci95_lower,ci95_upper,tau2,I2_percent
SIG022,T2,ALL_COHORTS,GSE95233,4,0.14100970145025135,-0.3424404230687189,0.6244598259692216,0.08047860433131554,86.60553297358938
SIG022,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE110487,2,-0.008253308731136817,-1.4553830334951614,1.438876416032888,0.011701042019056635,44.23500219767346
SIG022,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE8121,2,0.3514942553513419,-2.4462556692353785,3.1492441799380626,0.08240280345801029,84.85728360895695
SIG022,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE95233,2,0.22812435116680316,-4.0329460826306605,4.489194784964267,0.21389007886997147,95.09439375329484
SIG022,T2,PRIMARY_INDEPENDENT,GSE110487,4,0.00420768674408206,-0.17037335144412488,0.178788724932289,0.0,0.0
SIG022,T2,PRIMARY_INDEPENDENT,GSE54514,4,0.16333793264027371,-0.29958623253651606,0.6262620978170634,0.0733851839391182,86.21811821178088
SIG022,T2,PRIMARY_INDEPENDENT,GSE57065,4,0.15597262608617768,-0.32238367169068877,0.6343289238630441,0.07841106521468606,86.26058645725074
SIG022,T2,PRIMARY_INDEPENDENT,GSE8121,4,0.20917258424762242,-0.20453956150323077,0.6228847299984757,0.053155782273282916,77.58786687033343
SIG022,T2,PRIMARY_INDEPENDENT,GSE95233,4,0.14100970145025135,-0.3424404230687189,0.6244598259692216,0.08047860433131554,86.60553297358938
SIG022,T2,STRICT_NEVER_USED,GSE110487,4,0.00420768674408206,-0.17037335144412488,0.178788724932289,0.0,0.0
SIG022,T2,STRICT_NEVER_USED,GSE54514,4,0.16333793264027371,-0.29958623253651606,0.6262620978170634,0.0733851839391182,86.21811821178088
SIG022,T2,STRICT_NEVER_USED,GSE57065,4,0.15597262608617768,-0.32238367169068877,0.6343289238630441,0.07841106521468606,86.26058645725074
SIG022,T2,STRICT_NEVER_USED,GSE8121,4,0.20917258424762242,-0.20453956150323077,0.6228847299984757,0.053155782273282916,77.58786687033343
SIG022,T2,STRICT_NEVER_USED,GSE95233,4,0.14100970145025135,-0.3424404230687189,0.6244598259692216,0.08047860433131554,86.60553297358938
SIG023,T1,ALL_COHORTS,GSE236713,3,0.07852135500046364,-1.0242958796474042,1.1813385896483317,0.1678269695472556,85.65328668707144
SIG023,T1,ALL_COHORTS,GSE54514,3,0.17362921302989734,-0.3867859780237638,0.7340444040835584,0.044551951753060336,86.13391718876527
SIG023,T1,ALL_COHORTS,GSE57065,3,-0.04769174972734087,-0.9984344470767816,0.9030509476220998,0.11974717815428057,83.60936371476987
SIG023,T1,ALL_COHORTS,GSE95233,3,-0.0471504868612077,-0.979600992436813,0.8853000187143976,0.11755129223230902,86.51533808173501
SIG023,T1,PRIMARY_INDEPENDENT,GSE236713,3,0.07852135500046364,-1.0242958796474042,1.1813385896483317,0.1678269695472556,85.65328668707144
SIG023,T1,PRIMARY_INDEPENDENT,GSE54514,3,0.17362921302989734,-0.3867859780237638,0.7340444040835584,0.044551951753060336,86.13391718876527
SIG023,T1,PRIMARY_INDEPENDENT,GSE57065,3,-0.04769174972734087,-0.9984344470767816,0.9030509476220998,0.11974717815428057,83.60936371476987
SIG023,T1,PRIMARY_INDEPENDENT,GSE95233,3,-0.0471504868612077,-0.979600992436813,0.8853000187143976,0.11755129223230902,86.51533808173501
SIG023,T1,STRICT_NEVER_USED,GSE236713,3,0.07852135500046364,-1.0242958796474042,1.1813385896483317,0.1678269695472556,85.65328668707144
SIG023,T1,STRICT_NEVER_USED,GSE54514,3,0.17362921302989734,-0.3867859780237638,0.7340444040835584,0.044551951753060336,86.13391718876527
SIG023,T1,STRICT_NEVER_USED,GSE57065,3,-0.04769174972734087,-0.9984344470767816,0.9030509476220998,0.11974717815428057,83.60936371476987
SIG023,T1,STRICT_NEVER_USED,GSE95233,3,-0.0471504868612077,-0.979600992436813,0.8853000187143976,0.11755129223230902,86.51533808173501
SIG023,T2,ALL_COHORTS,GSE110487,4,0.018889559683309267,-0.1953897330409211,0.23316885240753965,0.0,0.0
SIG023,T2,ALL_COHORTS,GSE54514,4,-0.03900968862509426,-0.34440004851564476,0.2663806712654563,0.020553213554163997,56.48859107092318
SIG023,T2,ALL_COHORTS,GSE57065,4,-0.10664844926726642,-0.337342190195439,0.12404529166090612,0.00841464053852066,22.743725421339477
SIG023,T2,ALL_COHORTS,GSE8121,4,-0.08665158522330815,-0.40001077059216816,0.22670760014555189,0.02111451920798687,49.56940320190207
SIG023,T2,ALL_COHORTS,GSE95233,4,-0.04003196081451734,-0.36275041937829444,0.2826864977492598,0.024384895871581908,56.78476104569007
SIG023,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE110487,2,-0.010356183858424505,-0.9740621645037711,0.9533497967869221,0.0,0.0
SIG023,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE8121,2,-0.19680939061629013,-1.2139722015897882,0.8203534203572079,0.0,0.0
SIG023,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE95233,2,-0.10426002994871325,-2.1190296568258464,1.9105095969284198,0.03712078442514955,73.742903776989
SIG023,T2,PRIMARY_INDEPENDENT,GSE110487,4,0.018889559683309267,-0.1953897330409211,0.23316885240753965,0.0,0.0
SIG023,T2,PRIMARY_INDEPENDENT,GSE54514,4,-0.03900968862509426,-0.34440004851564476,0.2663806712654563,0.020553213554163997,56.48859107092318
SIG023,T2,PRIMARY_INDEPENDENT,GSE57065,4,-0.10664844926726642,-0.337342190195439,0.12404529166090612,0.00841464053852066,22.743725421339477
SIG023,T2,PRIMARY_INDEPENDENT,GSE8121,4,-0.08665158522330815,-0.40001077059216816,0.22670760014555189,0.02111451920798687,49.56940320190207
