signature_id,time_window,analysis_set,cohort_n,patient_n,pooled_delta_z,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,holm_adjusted_p
SIG004,T4,PRIMARY_INDEPENDENT,1,68,0.3621844920318702,,,,,,,,1.0,,GSE236713,
SIG004,T4,STRICT_NEVER_USED,1,68,0.3621844920318702,,,,,,,,1.0,,GSE236713,
SIG022,T1,ALL_COHORTS,4,172,-0.0568397988316207,0.0812301831536819,-0.3153504950866199,0.2016708974233784,0.0100867058351684,49.54582755141195,-0.612616109897399,0.4989365122341574,0.5,0.5344696403659274,GSE236713;GSE54514;GSE57065;GSE95233,
SIG022,T1,PILOT_ONLY,2,59,0.0015857546884969,0.127971726477234,-1.6244492024059265,1.6276207117829204,0.0154944134010163,44.47691698881452,,,0.5,0.9921117644394822,GSE54514;GSE57065,
SIG022,T1,PRESPECIFIED_VALIDATION_ONLY,2,113,-0.1165142644380574,0.1443346478965247,-1.9504598511721392,1.7174313222960242,0.0322047559981768,75.55296772679849,,,0.5,0.5676418656522193,GSE236713;GSE95233,
SIG022,T1,PRIMARY_INDEPENDENT,4,172,-0.0568397988316207,0.0812301831536819,-0.3153504950866199,0.2016708974233784,0.0100867058351684,49.54582755141195,-0.612616109897399,0.4989365122341574,0.5,0.5344696403659274,GSE236713;GSE54514;GSE57065;GSE95233,
SIG022,T1,STRICT_NEVER_USED,4,172,-0.0568397988316207,0.0812301831536819,-0.3153504950866199,0.2016708974233784,0.0100867058351684,49.54582755141195,-0.612616109897399,0.4989365122341574,0.5,0.5344696403659274,GSE236713;GSE54514;GSE57065;GSE95233,
SIG022,T2,ALL_COHORTS,5,146,0.1390210567724545,0.1187629029402693,-0.1907176237751375,0.4687597373200466,0.0587621901297658,82.2218807936682,-0.7200438635112723,0.9980859770561814,0.8,0.306749336872696,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG022,T2,PILOT_ONLY,2,54,0.0462282188038066,0.0235518613861565,-0.2530265538927677,0.3454829915003811,0.0,0.0,,,1.0,0.2999716549901616,GSE54514;GSE57065,
SIG022,T2,PRESPECIFIED_VALIDATION_ONLY,3,92,0.1944337049210301,0.1986132392915353,-0.6601300912704872,1.0489975011125474,0.1072188749726901,90.41267409082482,-4.6716627322406685,5.060530142082729,0.6666666666666666,0.4308350281311248,GSE110487;GSE8121;GSE95233,
SIG022,T2,PRIMARY_INDEPENDENT,5,146,0.1390210567724545,0.1187629029402693,-0.1907176237751375,0.4687597373200466,0.0587621901297658,82.2218807936682,-0.7200438635112723,0.9980859770561814,0.8,0.306749336872696,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG022,T2,STRICT_NEVER_USED,5,146,0.1390210567724545,0.1187629029402693,-0.1907176237751375,0.4687597373200466,0.0587621901297658,82.2218807936682,-0.7200438635112723,0.9980859770561814,0.8,0.306749336872696,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG022,T3,ALL_COHORTS,1,18,0.1531292505241713,,,,,,,,1.0,,GSE54514,
SIG022,T3,PILOT_ONLY,1,18,0.1531292505241713,,,,,,,,1.0,,GSE54514,
SIG022,T3,PRIMARY_INDEPENDENT,1,18,0.1531292505241713,,,,,,,,1.0,,GSE54514,
SIG022,T3,STRICT_NEVER_USED,1,18,0.1531292505241713,,,,,,,,1.0,,GSE54514,
SIG022,T4,ALL_COHORTS,2,82,0.2148678105582313,0.0228871265946002,-0.0759407057813991,0.5056763268978617,0.0,0.0,,,1.0,0.0675562548566618,GSE236713;GSE54514,
SIG022,T4,PILOT_ONLY,1,14,0.2705091237703241,,,,,,,,1.0,,GSE54514,
SIG022,T4,PRESPECIFIED_VALIDATION_ONLY,1,68,0.2054535725843616,,,,,,,,1.0,,GSE236713,
SIG022,T4,PRIMARY_INDEPENDENT,2,82,0.2148678105582313,0.0228871265946002,-0.0759407057813991,0.5056763268978617,0.0,0.0,,,1.0,0.0675562548566618,GSE236713;GSE54514,
SIG022,T4,STRICT_NEVER_USED,2,82,0.2148678105582313,0.0228871265946002,-0.0759407057813991,0.5056763268978617,0.0,0.0,,,1.0,0.0675562548566618,GSE236713;GSE54514,
SIG023,T1,ALL_COHORTS,4,172,0.0468090265631662,0.1791886511659646,-0.5234492342888285,0.6170672874151609,0.1026327231033082,85.57300724556744,-1.5325710495848452,1.6261891027111777,0.5,0.8108238812699943,GSE236713;GSE54514;GSE57065;GSE95233,
SIG023,T1,PILOT_ONLY,2,59,-0.0591058871399186,0.3872191449494945,-4.9791916207343725,4.860979846454535,0.2759402601267649,91.87264363367228,,,0.5,0.9035694463229532,GSE54514;GSE57065,
SIG023,T1,PRESPECIFIED_VALIDATION_ONLY,2,113,0.1153632670812376,0.1919129737298371,-2.323122268707587,2.5538488028700628,0.0639443334114807,85.70583955253738,,,0.5,0.6554329280971098,GSE236713;GSE95233,
SIG023,T1,PRIMARY_INDEPENDENT,4,172,0.0468090265631662,0.1791886511659646,-0.5234492342888285,0.6170672874151609,0.1026327231033082,85.57300724556744,-1.5325710495848452,1.6261891027111777,0.5,0.8108238812699943,GSE236713;GSE54514;GSE57065;GSE95233,
SIG023,T1,STRICT_NEVER_USED,4,172,0.0468090265631662,0.1791886511659646,-0.5234492342888285,0.6170672874151609,0.1026327231033082,85.57300724556744,-1.5325710495848452,1.6261891027111777,0.5,0.8108238812699943,GSE236713;GSE54514;GSE57065;GSE95233,
SIG023,T2,ALL_COHORTS,5,146,-0.0526105270909897,0.0797063032485698,-0.273910702598893,0.1686896484169134,0.0151811326694662,44.117593692496605,-0.5196200460702431,0.4143989918882635,0.6,0.545289769651606,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG023,T2,PILOT_ONLY,2,54,0.0475198507503121,0.1605294586759524,-1.9922003174149552,2.08724001891558,0.0236389605389216,44.144928797196314,,,0.5,0.8167802091186335,GSE54514;GSE57065,
SIG023,T2,PRESPECIFIED_VALIDATION_ONLY,3,92,-0.1018385302118655,0.094231381766431,-0.5072834421922394,0.3036063817685084,0.0135995280625573,47.64005901549923,-2.006883046757986,1.8032059863342549,0.6666666666666666,0.3928083816907421,GSE110487;GSE8121;GSE95233,
SIG023,T2,PRIMARY_INDEPENDENT,5,146,-0.0526105270909897,0.0797063032485698,-0.273910702598893,0.1686896484169134,0.0151811326694662,44.117593692496605,-0.5196200460702431,0.4143989918882635,0.6,0.545289769651606,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG023,T2,STRICT_NEVER_USED,5,146,-0.0526105270909897,0.0797063032485698,-0.273910702598893,0.1686896484169134,0.0151811326694662,44.117593692496605,-0.5196200460702431,0.4143989918882635,0.6,0.545289769651606,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG023,T3,ALL_COHORTS,1,18,-0.6630697001033902,,,,,,,,1.0,,GSE54514,
SIG023,T3,PILOT_ONLY,1,18,-0.6630697001033902,,,,,,,,1.0,,GSE54514,
SIG023,T3,PRIMARY_INDEPENDENT,1,18,-0.6630697001033902,,,,,,,,1.0,,GSE54514,
SIG023,T3,STRICT_NEVER_USED,1,18,-0.6630697001033902,,,,,,,,1.0,,GSE54514,
SIG023,T4,ALL_COHORTS,2,82,-0.2380270761174465,0.0040692001036325,-0.2897311657477126,-0.1863229864871803,0.0,0.0,,,1.0,0.0108822952530015,GSE236713;GSE54514,
SIG023,T4,PILOT_ONLY,1,14,-0.2489672406107332,,,,,,,,1.0,,GSE54514,
SIG023,T4,PRESPECIFIED_VALIDATION_ONLY,1,68,-0.2365135349368212,,,,,,,,1.0,,GSE236713,
SIG023,T4,PRIMARY_INDEPENDENT,2,82,-0.2380270761174465,0.0040692001036325,-0.2897311657477126,-0.1863229864871803,0.0,0.0,,,1.0,0.0108822952530015,GSE236713;GSE54514,
SIG023,T4,STRICT_NEVER_USED,2,82,-0.2380270761174465,0.0040692001036325,-0.2897311657477126,-0.1863229864871803,0.0,0.0,,,1.0,0.0108822952530015,GSE236713;GSE54514,
SIG033,T1,ALL_COHORTS,4,172,-0.1622184933545452,0.061427897164042,-0.3577094777256323,0.0332724910165419,0.0,2.6827668560794025,-0.4265214027669044,0.102084416057814,1.0,0.0776030481265069,GSE236713;GSE54514;GSE57065;GSE95233,
